Total,Category,Blue-up,Red-up,FR-up,Bue-down,Red-down,FR-down
5181,All genes,514,410,543,688,242,805
261,Amino acid metabolism and transport,8,5,8,70,23,70
133,Carbohydrate metabolism and transport,19,18,19,16,4,16
28,Cell division,1,1,1,2,1,1
49,Chaperones/Heat shock proteins/Cold shock proteins,5,4,7,12,3,14
79,Chemosensing & chemotaxis,7,5,7,4,0,6
143,Cofactor metabolism,12,6,12,27,4,33
38,Cyclic di-GMP cyclase proteins,6,4,6,2,2,3
16,Degradation of xenobiotics,1,1,1,0,0,0
76,Energy generation,2,2,2,27,9,26
52,Flagellar synthesis and motility,0,0,0,1,1,8
28,Iron metabolism and transport,2,2,2,5,1,5
20,Iron-sulfur proteins,2,2,2,5,1,6
12,Light and oxygen sensing,3,3,3,0,0,0
114,Lipid metabolism,11,8,10,27,10,30
67,LPS synthesis and transport,4,3,4,21,8,30
7,Mechanosensitive ion channel,4,3,4,0,0,0
64,Nitrogen metabolism,0,0,1,4,1,4
93,Nucleotide metabolism and transport,9,6,9,40,12,43
127,Organic acid metabolism and transport,7,7,9,20,9,22
54,Osmotic stress response,37,37,37,0,0,1
34,Outer membrane proteins,9,7,11,12,3,11
52,Oxidative stress response,8,8,9,6,1,7
44,Peptidoglycan/cell wall polymers,4,1,4,7,1,7
161,Phage & IS elements,4,2,4,3,0,6
20,Phosphate metabolism and transport,0,0,0,2,2,2
23,Phytotoxin synthesis and transport,1,0,1,0,1,0
50,Pili synthesis and regulation,0,0,0,0,0,2
15,Plant-associated proteins,2,1,2,1,0,1
28,Polyamine metabolism and transport,1,0,1,0,0,0
49,Polysaccharide synthesis and regulation,18,18,22,3,0,2
10,Post-translational modification,1,1,1,2,1,4
45,Proteases,9,8,11,4,2,3
21,QAC Degradation & Efflux,0,0,0,0,0,1
7,Quorum regulation,1,1,1,0,0,0
108,Replication and DNA repair,7,6,8,32,15,38
66,RNA,0,0,0,0,0,1
9,RNA processing and degradation,0,0,0,3,2,5
35,Secondary metabolism,1,1,1,3,2,2
83,Secretion/Efflux/Export,5,3,7,11,5,14
75,Siderophore synthesis and transport,0,0,1,8,1,16
69,Signal transduction mechanisms,8,7,8,2,0,5
28,Special,2,1,2,4,2,5
85,Stress resistance,3,3,4,6,3,7
32,Stress resistance (multidrug),3,0,4,3,0,4
63,Sulfur metabolism and transport,2,0,1,7,0,8
22,Toxin-Antitoxin system,0,0,0,0,0,1
16,Transcription,1,1,1,11,5,11
226,Transcriptional regulation,8,3,8,12,1,13
204,Translation,5,3,5,133,62,138
119,Transport,15,11,17,12,3,14
58,Transport (inorganic ions),7,5,7,2,1,4
15,Transport (organic compounds),1,1,1,1,1,1
38,Transport (peptides),0,0,1,1,1,1
53,Type III secretion system,3,0,3,0,0,2
31,Type VI secretion system,4,5,4,1,0,2
